OGF_ID,PROTECTED_SITE_IDENT,PROTECTED_AREA_NAME_ENG,PROTECTED_AREA_NAME_FR,PROTECTED_AREA_NAME_OJIBWA,PROTECTED_AREA_NAME_OJI_CREE,PROTECTED_AREA_NAME_CREE,TYPE_ENG,TYPE_FR,STATUS_ENG,STATUS_FR,COMMON_SHORT_NAME,IUCN_CATEGORY,REGULATION_DATE,REGULATION_NUMBER,REGULATED_AREA,OPERATING_STATUS_IND,PROVINCIAL_PARK_CLASS_ENG,PROVINCIAL_PARK_CLASS_FR,NSUID,PARENTID,OWNER_ENG,OWNER_FR,MANAGEMENT_ENG,MANAGEMENT_FR,LOCATION_ENG,LOCATION_FR,LEGISLATION,PROTDATE,URL,M_AREA,PROV_PARK_ADMIN_ZONE_ID,CLUSTER_NAME,SYSTEM_CALCULATED_AREA,GENERAL_COMMENTS,OVERLAY_IND,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
49000098,P1640,WAKAMI LAKE PROVINCIAL PARK ADDITION (NATURE RESERVE CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,WAKAMI LAKE ADDITION,Ia,2003/05/22 00:00:00+00,210/03,3509,No,Nature Reserve,Réserve naturelle,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",2003,www.ontarioparks.com/english/,,66563676,Chapleau West Cluster (Northeast Zone),35269680.751,,No,,2015/11/12 11:13:17+00,2021/04/29 16:59:25+00,36209,0,0
963673,P2554,BONHEUR RIVER KAME PROVINCIAL PARK (NATURE RESERVE CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,BONHEUR RIVER KAME  ,Ia,1985/12/31 00:00:00+00,45/85,800,No,Nature Reserve,Réserve naturelle,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1985,www.ontarioparks.com/english/,,66563677,Dryden Cluster (Northwest Zone),8313193.639,,No,,2017/07/11 16:41:08+00,2021/04/29 16:59:25+00,36225,0,0
963666,P358,BELL BAY PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,BELL BAY  ,II,2011/04/18 00:00:00+00,125/11,558,No,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1989,www.ontarioparks.com/english/,,66563680,Bonnechere Park Cluster (Algonquin Zone),5570472.053,,No,,2015/11/12 11:13:18+00,2021/04/29 16:59:25+00,36241,0,0
963688,P2017,CHUTES PROVINCIAL PARK (RECREATIONAL CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,CHUTES  ,II,1978/12/31 00:00:00+00,517/78,108.32,Yes,Recreational,Loisirs,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1970,www.ontarioparks.com/english/,,66563676,Mississagi/Spanish River Cluster (Northeast Zone),1094434.01,,No,,2017/07/11 16:19:00+00,2021/04/29 16:59:25+00,36273,0,0
49000223,P45,ALEXANDER STEWART PROVINCIAL PARK (NATURE RESERVE CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,ALEXANDER STEWART    ,Ia,2003/06/28 00:00:00+00,238/03,30,No,Nature Reserve,Réserve naturelle,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",2003,www.ontarioparks.com/english/,,66563680,Bonnechere Park Cluster (Algonquin Zone),309818.63,,No,,2015/11/12 11:13:18+00,2021/04/29 16:59:25+00,36289,0,0
963857,P1925,SAMUEL DE CHAMPLAIN PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,SAMUEL DE CHAMPLAIN  ,II,1985/12/31 00:00:00+00,493/85,2550,Yes,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1967,www.ontarioparks.com/english/,,66563680,Mattawa-Ottawa River Valley Cluster (Algonquin Zone),25191263.808,,No,,2017/07/12 09:37:40+00,2021/04/29 16:59:25+00,36305,0,0
963877,P2677,SLATE ISLANDS PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,SLATE ISLANDS  ,II,1985/12/31 00:00:00+00,45/85,6570,No,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1985,www.ontarioparks.com/english/,,66563677,Nipigon Cluster (Northwest Zone),65649996.857,,No,,2017/07/12 09:38:25+00,2021/04/29 16:59:25+00,36321,0,0
963897,P2529,TROUT LAKE PROVINCIAL PARK (NATURE RESERVE CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,TROUT LAKE  ,Ia,1989/05/08 00:00:00+00,259/89,7150,No,Nature Reserve,Réserve naturelle,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1989,www.ontarioparks.com/english/,,66563677,Red Lake Cluster (Northwest Zone),73615208.271,,No,,2017/07/11 17:01:28+00,2021/04/29 16:59:25+00,36337,0,0
49000226,P2263,OBONGA-OTTERTOOTH PROVINCIAL PARK (WATERWAY CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,OBONGA-OTTERTOOTH    ,II,2003/06/09 00:00:00+00,241/03,21157,No,Waterway,Voie navigable,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",2003,www.ontarioparks.com/english/,,66563677,Sleeping Giant Cluster (Northwest Zone),211571379.19,,No,2018/01/25 15:38:20+00,2018/01/25 14:20:46+00,2021/04/29 16:59:25+00,36353,0,0
963670,P1930,BLUE JAY CREEK PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,BLUE JAY CREEK  ,II,1997/02/20 00:00:00+00,52/97,245.7,No,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1997,www.ontarioparks.com/english/,,66563676,Windy Lake Cluster (Northeast Zone),2517374.796,,No,2019/10/11 16:52:57+00,2019/10/09 10:47:21+00,2021/04/29 16:59:25+00,36369,0,0
